"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"07/09/2021","AQS","550030010","3","3.3","ug/m3 LC","14","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/10/2021","AQS","550030010","3","4.2","ug/m3 LC","18","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/11/2021","AQS","550030010","3","18.9","ug/m3 LC","65","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/12/2021","AQS","550030010","3","13.8","ug/m3 LC","55","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/13/2021","AQS","550030010","3","10.4","ug/m3 LC","43","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/14/2021","AQS","550030010","3","21.2","ug/m3 LC","70","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/15/2021","AQS","550030010","3","9.7","ug/m3 LC","40","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/16/2021","AQS","550030010","3","7.1","ug/m3 LC","30","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/17/2021","AQS","550030010","3","10.5","ug/m3 LC","44","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/18/2021","AQS","550030010","3","14.8","ug/m3 LC","57","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/19/2021","AQS","550030010","3","15.3","ug/m3 LC","58","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/20/2021","AQS","550030010","3","9.6","ug/m3 LC","40","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/21/2021","AQS","550030010","3","4.5","ug/m3 LC","19","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/22/2021","AQS","550030010","3","12.5","ug/m3 LC","52","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/23/2021","AQS","550030010","3","20.3","ug/m3 LC","68","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/24/2021","AQS","550030010","3","15.2","ug/m3 LC","58","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/25/2021","AQS","550030010","3","15.2","ug/m3 LC","58","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/26/2021","AQS","550030010","3","19.2","ug/m3 LC","66","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/27/2021","AQS","550030010","3","11.2","ug/m3 LC","47","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/28/2021","AQS","550030010","3","19.8","ug/m3 LC","67","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/29/2021","AQS","550030010","3","26.8","ug/m3 LC","82","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/30/2021","AQS","550030010","3","10.7","ug/m3 LC","45","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"07/31/2021","AQS","550030010","3","68","ug/m3 LC","157","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"08/01/2021","AQS","550030010","3","10.1","ug/m3 LC","42","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"08/02/2021","AQS","550030010","3","33.6","ug/m3 LC","96","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"08/03/2021","AQS","550030010","3","54.5","ug/m3 LC","148","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"08/04/2021","AQS","550030010","3","39.1","ug/m3 LC","110","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"08/05/2021","AQS","550030010","3","18.4","ug/m3 LC","64","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"08/06/2021","AQS","550030010","3","12.4","ug/m3 LC","52","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"08/07/2021","AQS","550030010","3","11.1","ug/m3 LC","46","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"08/08/2021","AQS","550030010","3","6.5","ug/m3 LC","27","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
